Name,Category,Sub-Category,Rarity,Properties,Game Effect,Source
Ghost Oak,Raw Materials,Flora,Very Rare,"Ethereal, Pale",Weapons can hit incorporeal creatures without penalty.,Fantasy Lore
Red Dragon Scale,Monster Parts,Dragon,Rare,"Fiery, Hard",Grants Resistance to Fire damage.,5e SRD
Blue Dragon Scale,Monster Parts,Dragon,Rare,"Electric, Hard",Grants Resistance to Lightning damage.,5e SRD
Black Dragon Scale,Monster Parts,Dragon,Rare,"Acidic, Hard",Grants Resistance to Acid damage.,5e SRD
Green Dragon Scale,Monster Parts,Dragon,Rare,"Toxic, Hard",Grants Resistance to Poison damage.,5e SRD
White Dragon Scale,Monster Parts,Dragon,Rare,"Cold, Hard",Grants Resistance to Cold damage.,5e SRD
Gold Dragon Scale,Monster Parts,Dragon,Very Rare,"Radiant, Hard",Grants Resistance to Fire damage and +1 to AC.,5e SRD
Silver Dragon Scale,Monster Parts,Dragon,Very Rare,"Chilling, Hard",Grants Resistance to Cold damage and +1 to AC.,5e SRD
Bronze Dragon Scale,Monster Parts,Dragon,Very Rare,"Sparking, Hard",Grants Resistance to Lightning damage and +1 to AC.,5e SRD
Copper Dragon Scale,Monster Parts,Dragon,Very Rare,"Corrosive, Hard",Grants Resistance to Acid damage and +1 to AC.,5e SRD
Brass Dragon Scale,Monster Parts,Dragon,Very Rare,"Sunny, Hard",Grants Resistance to Fire damage and +1 to AC.,5e SRD
Red Dragon Blood,Common Materials,Dragon,Rare,"Volatile, Hot",Used in Potions of Fire Breath.,5e SRD
Blue Dragon Blood,Common Materials,Dragon,Rare,"Energized, Sparking",Used in Potions of Speed.,5e SRD
Black Dragon Blood,Common Materials,Dragon,Rare,"Corrosive, Dark",Used in powerful Acid vials.,5e SRD
Green Dragon Blood,Common Materials,Dragon,Rare,"Noxious, Thick",Used in Potions of Poison Resistance.,5e SRD
White Dragon Blood,Common Materials,Dragon,Rare,"Freezing, Pale",Used in Potions of Frost Giant Strength.,5e SRD
Red Dragon Claw,Monster Parts,Dragon,Rare,"Sharp, Scorching",Melee weapons deal +1d4 Fire damage.,5e SRD
Blue Dragon Claw,Monster Parts,Dragon,Rare,"Sharp, Jolting",Melee weapons deal +1d4 Lightning damage.,5e SRD
Black Dragon Claw,Monster Parts,Dragon,Rare,"Sharp, Melting",Melee weapons deal +1d4 Acid damage.,5e SRD
Green Dragon Claw,Monster Parts,Dragon,Rare,"Sharp, Sickening",Melee weapons deal +1d4 Poison damage.,5e SRD
White Dragon Claw,Monster Parts,Dragon,Rare,"Sharp, Numbing",Melee weapons deal +1d4 Cold damage.,5e SRD
Dragon Heart String,Common Materials,Dragon,Very Rare,"Resonant, Powerful",Used to craft Wands of the War Mage +2.,Fantasy Lore
Dragon Eye,Common Materials,Dragon,Very Rare,"Perceptive, Ancient",Grants Advantage on Perception checks when held.,Fantasy Lore
Dragon Sinew,Common Materials,Dragon,Rare,"Strong, Elastic",Bows have +2 to damage rolls.,Fantasy Lore
Dragon Tongue,Common Materials,Dragon,Rare,"Persuasive, Scalding",Used in Potions of Glibness.,Fantasy Lore
Dragon Tooth,Monster Parts,Dragon,Uncommon,"Jagged, Tough",Used for daggers that deal +1 damage.,5e SRD
Ancient Dragon Scale,Monster Parts,Dragon,Legendary,"Invulnerable, Ancient",Grants Immunity to the dragon's damage type.,5e SRD
Shadow Dragon Scale,Monster Parts,Dragon,Very Rare,"Necrotic, Shifting",Grants Resistance to Necrotic damage.,5e SRD
Dracolich Bone,Monster Parts,Undead,Legendary,"Cursed, Cold",Deals +2d6 Necrotic damage; wearer is vulnerable to Radiant.,Fantasy Lore
Faerie Dragon Wing,Common Materials,Fey,Rare,"Colorful, Shifting",Used for Cloaks of Invisibility (minor).,5e SRD
Wyvern Scale,Monster Parts,Monster,Uncommon,"Leathery, Tough",Grants +1 to AC.,5e SRD
Aboleth Mucus,Common Materials,Monster,Rare,"Toxic, Aquatic",Used to craft Potions of Water Breathing or paralytic poisons.,Monster Manual
Basilisk Eye,Common Materials,Monster,Rare,"Petrifying, Arcane",Ingredient for Potions of Gaseous Form or Flesh to Stone oil.,Monster Manual
Behir Scale,Monster Parts,Monster,Rare,"Electric, Hard",Grants +1 to AC and Resistance to Lightning damage.,Monster Manual
Displacer Beast Hide,Monster Parts,Monster,Very Rare,"Illusion, Shifting",Grants the 'Displacement' trait (Disadvantage on attacks against you).,Monster Manual
Flail Snail Shell,Monster Parts,Monster,Very Rare,"Anti-Magic, Reflective",Can be crafted into a shield that reflects spells on a roll of 20.,Volo's Guide
Hydra Blood,Common Materials,Monster,Rare,"Regenerative, Vital",Ingredient for high-level Potions of Healing or Regeneration.,Monster Manual
Rust Monster Antenna,Common Materials,Monster,Uncommon,"Corrosive, Metal-eating",Used to create 'Oil of Sharpness' or 'Rusting Powder'.,Monster Manual
Troll Fat,Common Materials,Monster,Uncommon,"Oily, Regenerative",Used in salves that grant +1d4 healing during a Short Rest.,Monster Manual
Voidglass,Common Materials,Exotic,Very Rare,"Anti-Magic, Sharp",Weapons deal +1d6 Force damage; Armor grants Advantage vs Spells.,Homebrew
Glassteel,Common Materials,Exotic,Rare,"Transparent, Strong",As strong as steel but clear; grants Advantage on Perception (Sight).,Forgotten Realms
Firestone,Common Materials,Elemental,Uncommon,"Hot, Volatile",Deals 1 Fire damage to anyone touching it bare-handed; crafts fire bombs.,Homebrew
Spirit Stone,Common Materials,Mystic,Very Rare,"Soul-binding, Ethereal",Can store a single soul or 1 minute of a person's memories.,Homebrew
Bloodpurge,Common Materials,Flora,Common,"Anti-toxin, Bitter",Crafts Antitoxin; grants Advantage on saves vs Poison for 1 hour.,Forgotten Realms
Bloodstaunch,Common Materials,Flora,Common,"Coagulant, Fibrous",Stops bleeding immediately; grants 1d4 temporary HP when used.,Forgotten Realms
Blueglow Moss,Common Materials,Flora,Uncommon,"Luminescent, Healing",Glows 5ft; used in Potions of Greater Healing.,Forgotten Realms
Fairy Dust,Common Materials,Reagent,Rare,"Magical, Light",Used for Potions of Invisibility or Flying.,Monster Manual
Sleepweed,Common Materials,Flora,Common,"Sedative, Heavy",Used for Sleep Poisons or Potions of Restful Sleep.,Forgotten Realms
Mule Pollen,Common Materials,Flora,Common,"Stamina, Stimulant",Ignores one level of Exhaustion for 1 hour.,Forgotten Realms
Elysian Bronze,Raw Materials,Exotic,Rare,"Holy, Resilient",Deals extra 1d6 damage to Fiends and Undead.,Pathfinder
Singing Steel,Raw Materials,Exotic,Rare,"Resonant, Harmonic",Grants +1 to Bardic Inspiration die rolls if used as an instrument part.,Pathfinder
Wave-Washed Steel,Raw Materials,Exotic,Uncommon,Corrosion-resistant,Will never rust or degrade in saltwater environments.,Homebrew
Windforged Steel,Raw Materials,Exotic,Rare,"Aerodynamic, Light",Thrown weapons have double range; melee weapons have 'Finesse'.,Homebrew
Soulbound Steel,Raw Materials,Exotic,Very Rare,"Bonds, Loyal",Cannot be disarmed; returns to owner's hand as a bonus action.,Homebrew
Black Adamantine,Raw Materials,Exotic,Legendary,"Cursed, Indestructible",Grants immunity to Critical Hits; wearer takes -2 to Charisma saves.,Homebrew
Horacalcum,Raw Materials,Exotic,Legendary,"Temporal, Unstable","Once per day, wearer can reroll an Initiative roll.",Pathfinder
Stailinn,Raw Materials,Common,Common,"Flexible, Sharp",Standard high-quality steel; +1 to damage rolls (non-magical).,Homebrew
Obsidian,Common Materials,Natural,Common,"Sharp, Fragile",Weapons deal +2 damage but break on a natural 1 attack roll.,Real World
Ceramic,Common Materials,Natural,Common,"Heat-resistant, Brittle",Grants Resistance to Fire damage but breaks if hit by a Bludgeoning attack.,Real World
Earth/Clay,Common Materials,Natural,Common,"Malleable, Heavy",Used for seals and Golem construction.,5e SRD
Ice,Common Materials,Natural,Common,"Cold, Melting",Deals 1 Cold damage; melts in 1 hour unless magically preserved.,Real World
Marlite,Common Materials,Natural,Uncommon,"Sacred, Durable",Buildings made of Marlite are immune to 'Siege' damage.,Forgotten Realms
Necratite,Raw Materials,Exotic,Very Rare,"Necrotic, Chilling",Deals +1d6 Necrotic damage; wearer is vulnerable to Radiant damage.,Homebrew
Vermite,Common Materials,Exotic,Rare,"Poisonous, Corruptive",Contact deals 1d4 Poison damage; used for high-tier poisons.,Homebrew
Vrilgonite,Common Materials,Exotic,Legendary,"Psionic, Reality-warping",Grants the 'Telepathy' feat while held.,Homebrew
Plutite,Common Materials,Exotic,Legendary,"Heavy, Gravitational",Melee attacks push targets 5ft; movement speed reduced by 10ft.,Homebrew
Coddleweb,Common Materials,Monster,Uncommon,"Sticky, Strong",Used to craft 'Web' grenades or indestructible rope.,Monster Manual
Nanoweave,Common Materials,Exotic,Rare,"Ultra-light, Stealthy","Armor counts as 'Unarmored' for class features (e.g., Monk).",Homebrew
Rubber,Common Materials,Natural,Common,"Elastic, Insulating",Grants Resistance to Lightning damage; Advantage on Athletics (Climbing).,Real World
Cork,Common Materials,Natural,Common,"Buoyant, Light",Items made of Cork float; grants Advantage on Athletics (Swimming).,Real World
Iron,Raw Materials,Common,Common,"Standard, Magnetic",The baseline for all metal crafting.,Real World
Gold,Raw Materials,Common,Common,"Valuable, Soft",Highly conductive for magic; increases item value by 10x.,Real World
Silver,Raw Materials,Common,Common,"Pure, Conductive",Effective against Undead and Lycanthropes.,Real World
Copper,Raw Materials,Common,Common,"Conductive, Cheap",Used for basic wires and alchemical tubing.,Real World
Brass,Raw Materials,Common,Common,"Mechanical, Resonant",Used for clockwork and musical instruments.,Real World
Electrum,Raw Materials,Common,Uncommon,"Ancient, Mystical",Used for ritual items and ancient keys.,5e SRD
Amber,Common Materials,Natural,Uncommon,"Preservative, Arcane",Can preserve a small organic object (like an eye) indefinitely.,Real World
Quartz,Common Materials,Natural,Common,"Focus, Clear",Used for spyglasses and basic arcane focuses.,Real World
Sunstone,Common Materials,Natural,Uncommon,"Radiant, Warm",Emits dim light in a 10ft radius.,Real World
Moonstone,Common Materials,Natural,Uncommon,"Pale, Ethereal",Grants +1 to Illusion spell Save DCs.,Real World
Sapphire,Common Materials,Natural,Rare,"Cold, Precise",Used in 'Ice Storm' or 'Teleport' related items.,Real World
Garnet,Common Materials,Natural,Uncommon,"Blood, Fire",Used in 'Fireball' or 'Vampiric Touch' related items.,Real World
Jade,Common Materials,Natural,Rare,"Vital, Protective",Grants +1 to all Saving Throws.,Real World
Coral,Common Materials,Organic,Uncommon,"Sea-born, Sharp",Weapons do not have disadvantage underwater.,Real World
Salt Crystal,Common Materials,Natural,Common,"Purifying, Preservative",Can be used to cast 'Ceremony' or preserve food for 1 year.,Real World
Fog Rock,Common Materials,Exotic,Uncommon,"Vaporous, Obscuring","When crushed, creates a 10ft cloud of 'Fog Cloud'.",Homebrew
Applewood,Raw Materials,Flora,Common,"Sweet, Fragile",Used for luxury furniture and smoking meat.,Real World
Cedar,Raw Materials,Flora,Common,"Fragrant, Preservative",Repels insects; keeps clothing from rotting.,Real World
Cypress,Raw Materials,Flora,Common,"Water-resistant, Durable",Boats made of Cypress have +2 to AC.,Real World
Hickory,Raw Materials,Flora,Common,"Tough, Flexible",Standard for tool handles and shafts.,Real World
Maple,Raw Materials,Flora,Common,"Balanced, Smooth",Standard for musical instruments and fine bows.,Real World
Oak,Raw Materials,Flora,Common,"Strong, Reliable",Standard for shields and heavy construction.,Real World
Pine,Raw Materials,Flora,Common,"Light, Resin-rich",Standard for cheap furniture and torches.,Real World
Willow,Raw Materials,Flora,Common,"Flexible, Warding",Can be used to craft 'Wands of Binding'.,Real World
Ash,Raw Materials,Flora,Common,"Straight, Balanced",Standard for spears and arrows.,Real World
Birch,Raw Materials,Flora,Common,"Light, Peeling",Used for writing paper and light containers.,Real World
Bamboo,Raw Materials,Flora,Common,"Hollow, Light",Used for blowguns and light scaffolding.,Real World
Mangrove,Raw Materials,Flora,Uncommon,"Salty, Tough",Resistant to rot; used for swamp-trekking gear.,Real World
Thornwood,Raw Materials,Flora,Uncommon,"Prickly, Defensive",Armor made of Thornwood deals 1 piercing damage to attackers.,Homebrew
Hawthorn,Raw Materials,Flora,Uncommon,"Protective, Holy",Grants +1 to AC against Fey.,Real World
Hornbeam,Raw Materials,Flora,Uncommon,"Hard, Springy",Grants +1 to damage for Bludgeoning weapons.,Real World
Dragon Bone,Monster Parts,Monster,Rare,"Draconic, Resonant",Weapons deal +1d4 damage of the dragon's type.,Monster Manual
Hydra Fang,Monster Parts,Monster,Rare,"Toxic, Sharp",Melee attacks deal +1 Poison damage.,Monster Manual
Kraken Ink,Common Materials,Monster,Very Rare,"Obscuring, Arcane",Used to craft 'Potions of Ink Cloud' or 'Scrolls of Darkness'.,Monster Manual
Phoenix Feather,Common Materials,Monster,Legendary,"Fiery, Rebirth","If you drop to 0 HP, you instead drop to 1 HP (once per day).",Monster Manual
Unicorn Horn,Monster Parts,Monster,Legendary,"Holy, Healing",Can cast 'Cure Wounds' at 3rd level once per day.,Monster Manual
Beholder Eye,Common Materials,Monster,Legendary,"Anti-Magic, Gaze",Can be crafted into a 'Shield of Spell Turning'.,Monster Manual
Mimic Adhesive,Common Materials,Monster,Uncommon,"Sticky, Strong",Used to craft 'Universal Solvent' or 'Sovereign Glue'.,Monster Manual
Shambling Mound Vine,Common Materials,Monster,Uncommon,"Conductive, Tough",Grants Immunity to Lightning damage if used as a cloak.,Monster Manual
Wight Essence,Common Materials,Monster,Rare,"Life-draining, Cold",Weapons deal +1d4 Necrotic damage.,Monster Manual
Wraith Ectoplasm,Common Materials,Monster,Rare,"Incorporeal, Ethereal",Allows the user to walk through walls for 1 round (once per day).,Monster Manual
Basilisk Scale,Monster Parts,Monster,Uncommon,"Hard, Earthy",Grants +1 to AC.,Monster Manual
Aboleth Psi-Ichor,Common Materials,Monster,Rare,"Psionic, Mind-bending",Grants 'Detect Thoughts' once per day.,Monster Manual
Chimera Heart,Common Materials,Monster,Rare,"Tri-elemental, Chaotic","Deals 1d6 Fire, Cold, or Lightning damage (randomly).",Monster Manual
Gorgon Plate,Monster Parts,Monster,Rare,"Metallic, Petrifying",Attackers must succeed on a DC 12 Con save or be Restrained.,Monster Manual
Remorhaz Core,Common Materials,Monster,Very Rare,"Extreme Heat, Fire",Melee attacks deal +1d8 Fire damage.,Monster Manual
Roc Feather,Common Materials,Monster,Rare,"Giant, Wind",Grants +10ft to Flying speed.,Monster Manual
Sahuagin Heart,Common Materials,Monster,Uncommon,"Blood-frenzy, Aquatic",Grants Advantage on melee attacks if target is below half HP.,Monster Manual
Shadow Essence,Common Materials,Monster,Uncommon,"Dark, Elusive",Grants Advantage on Stealth checks in darkness.,Monster Manual
Sphinx Sand,Common Materials,Monster,Legendary,"Temporal, Wise",Allows the user to take an extra Action (once per day).,Monster Manual
Tarrasque Plate,Monster Parts,Monster,Artifact,"Invulnerable, Reflective",Grants Immunity to Magic Missile and Line spells.,Monster Manual
Treant Sap,Common Materials,Monster,Rare,"Vital, Plant-like",Increases Strength score by 2 for 1 hour.,Monster Manual
Vampire Dust,Common Materials,Monster,Rare,"Mist-form, Undead",Allows the user to turn into a bat for 1 hour.,Monster Manual
Wyvern Stinger,Monster Parts,Monster,Rare,"Poisonous, Piercing",Melee attacks deal +2d6 Poison damage.,Monster Manual
Xorn Crystal,Common Materials,Monster,Uncommon,"Earth-gliding, Dense",Allows the user to sense gold within 60ft.,Monster Manual
Yeti Fur,Common Materials,Monster,Uncommon,"Insulating, White",Grants Resistance to Cold damage and Advantage on Stealth in snow.,Monster Manual
Behir Breath Gland,Common Materials,Monster,Rare,"Lightning, Volatile",Can be used to craft a 'Wand of Lightning Bolts'.,Monster Manual
Chuul Pincer,Monster Parts,Monster,Uncommon,"Paralytic, Strong",Melee attacks can 'Grapple' on a hit (DC 13).,Monster Manual
Cloaker Wing,Monster Parts,Monster,Rare,"Shadow, Fluttering",Grants the 'Blur' effect while in dim light.,Monster Manual
Couatl Feather,Common Materials,Monster,Rare,"Celestial, Radiant",Grants 'Shield of Faith' once per day.,Monster Manual
Drider Silk,Common Materials,Monster,Rare,"Dark, Strong",Armor made of this grants 'Spider Climb'.,Monster Manual
Efreeti Ember,Common Materials,Monster,Very Rare,"Fire, Noble",Grants 'Fire Shield' (Fire version) once per day.,Monster Manual
Gargoyle Heart,Common Materials,Monster,Uncommon,"Stone-like, Durable",Wearer can become a statue for 1 hour (unmoving).,Monster Manual
Gelatinous Cube Essence,Common Materials,Monster,Uncommon,"Acidic, Transparent",Weapons deal +1d4 Acid damage.,Monster Manual
Harpy Vocal Cord,Common Materials,Monster,Uncommon,"Sonic, Alluring",Grants Advantage on Charisma (Performance) checks.,Monster Manual
Hell Hound Tongue,Common Materials,Monster,Uncommon,"Fire, Fiendish",Deals +1d6 Fire damage to creatures within 5ft.,Monster Manual
Hook Horror Claw,Monster Parts,Monster,Uncommon,"Climbing, Sharp",Grants a Climbing speed of 30ft.,Monster Manual
Intellect Devourer Brain,Common Materials,Monster,Rare,"Psionic, Consuming",Grants 'Mind Spike' spell once per day.,Monster Manual
Lamia Dust,Common Materials,Monster,Rare,"Illusion, Charm",Grants 'Charm Person' once per day.,Monster Manual
Manticore Spike,Monster Parts,Monster,Uncommon,"Ranged, Piercing",Can be thrown as a dagger with 60ft range.,Monster Manual
Medusa Snake-Hair,Common Materials,Monster,Rare,"Petrifying, Poisonous",Melee attacks deal +1d4 Poison damage and Slow target.,Monster Manual
Nightmare Hoof,Common Materials,Monster,Rare,"Fire, Ethereal",Unarmed strikes deal +1d6 Fire damage.,Monster Manual
Oni Horn,Monster Parts,Monster,Rare,"Shape-changing, Fiendish",Grants 'Alter Self' once per day.,Monster Manual
Otyugh Tentacle,Monster Parts,Monster,Uncommon,"Disease, Reach",Melee weapons gain 'Reach' property but deal -2 damage.,Monster Manual
Owlbear Beak,Monster Parts,Monster,Common,"Sharp, Crushing",Melee attacks deal +2 damage.,Monster Manual
Pegasus Wing,Common Materials,Monster,Rare,"Celestial, Speed",Grants 'Haste' for 1 minute (once per day).,Monster Manual
Phase Spider Mandible,Monster Parts,Monster,Rare,"Ethereal, Poisonous",Attacks bypass non-magical armor.,Monster Manual
Purple Worm Tooth,Monster Parts,Monster,Very Rare,"Massive, Poisonous",Melee attacks deal +3d6 Poison damage.,Monster Manual
Rakshasa Claw,Monster Parts,Monster,Very Rare,"Cursed, Fiendish",Attacks ignore Resistance to non-magical damage.,Monster Manual
Remorhaz Scale,Monster Parts,Monster,Rare,"Heat-absorbing, Hard",Grants Resistance to Cold and Fire damage.,Monster Manual
Roper Tentacle,Common Materials,Monster,Rare,"Grasping, Sticky",Grants +5 to Grapple checks.,Monster Manual
Rust Monster Blood,Common Materials,Monster,Uncommon,"Corrosive, Metal-seeking",Used to detect invisible metal objects within 30ft.,Monster Manual
Sahuagin Scale,Monster Parts,Monster,Common,"Aquatic, Slimy",Grants 'Blood Frenzy' (Advantage on wounded targets).,Monster Manual
Salamander Scale,Monster Parts,Monster,Rare,"Fiery, Metallic",Grants Immunity to Fire damage.,Monster Manual
Shadow Demon Essence,Common Materials,Monster,Rare,"Shadow, Incorporeal",Wearer can hide as a bonus action in dim light.,Monster Manual
Shambling Mound Root,Common Materials,Monster,Uncommon,"Entangling, Living",Melee attacks 'Restrain' on a Critical Hit.,Monster Manual
Specter Rags,Common Materials,Monster,Uncommon,"Fear, Ethereal",Grants Advantage on Intimidation checks.,Monster Manual
Spirit Naga Scale,Monster Parts,Monster,Rare,"Rejuvenating, Arcane",Grants +1 to all spell attack rolls.,Monster Manual
Stirge Proboscis,Monster Parts,Monster,Common,"Blood-drinking, Sharp",Heals user for 1 HP on every hit.,Monster Manual
Succubus Tail,Monster Parts,Monster,Rare,"Charming, Fiendish",Grants Advantage on Persuasion checks.,Monster Manual
Treant Leaf,Common Materials,Monster,Uncommon,"Nature, Wise",Grants 'Speak with Plants' at will.,Monster Manual
Troll Skin,Monster Parts,Monster,Uncommon,"Regenerative, Rubbery",Heals 1 HP at the start of every turn in combat.,Monster Manual
Unicorn Hair,Common Materials,Monster,Rare,"Pure, Warding",Grants Advantage on saves vs Spells.,Monster Manual
Vampire Fang,Monster Parts,Monster,Rare,"Life-stealing, Sharp",Unarmed strikes heal for half damage dealt.,Monster Manual
Water Elemental Essence,Common Materials,Monster,Uncommon,"Fluid, Crushing",Grants 'Water Walk' at will.,Monster Manual
Wight Bone,Monster Parts,Monster,Uncommon,"Cold, Undead",Melee attacks reduce target speed by 10ft.,Monster Manual
Will-o'-Wisp Light,Common Materials,Monster,Rare,"Luminescent, Shocking",Deals 1d8 Lightning damage to anyone who touches the wearer.,Monster Manual
Winter Wolf Pelt,Monster Parts,Monster,Uncommon,"Cold, Camouflage",Grants Advantage on Stealth in snow.,Monster Manual
Wraith Essence,Common Materials,Monster,Rare,"Ethereal, Chilling",Wearer can move through other creatures.,Monster Manual
Wyvern Wing,Monster Parts,Monster,Rare,"Leathery, Poisonous",Grants Resistance to Poison damage.,Monster Manual
Xorn Hide,Monster Parts,Monster,Rare,"Stone-like, Camouflage",Grants Advantage on Stealth in rocky terrain.,Monster Manual
Yeti Eye,Common Materials,Monster,Uncommon,"Chilling, Gaze",Grants 'Chilling Gaze' (Stun target for 1 round).,Monster Manual
Zombie Flesh,Common Materials,Monster,Common,"Rotten, Undead",Grants 'Undead Fortitude' (Save vs 0 HP).,Monster Manual
